22.411387;0.001417
22.788240;0.001452
23.166847;0.001488
23.524672;0.001523
24.018633;0.001574
24.378002;0.001608
24.753250;0.001645
25.112696;0.001680
25.497524;0.001720
25.855520;0.001753
26.231073;0.001790
26.589609;0.001826
27.022074;0.001869
27.380421;0.001905
27.755041;0.001942
28.114563;0.001978
28.501545;0.002018
28.859692;0.002053
29.235559;0.002091
29.594364;0.002127
30.000580;0.002171
30.359585;0.002206
30.734610;0.002247
31.093237;0.002281
31.479923;0.002321
31.836410;0.002357
32.212898;0.002397
32.571110;0.002434
35.004494;0.002480
33.362709;0.002517
33.738468;0.002556
34.096645;0.002593
34.487770;0.002634
34.843414;0.002670
35.222263;0.002709
35.579494;0.002746
35.978828;0.002789
36.338646;0.002825
16.711773;0.002864
37.072426;0.002901
37.454357;0.002940
37.816143;0.002979
38.191792;0.003015
38.551544;0.003053
38.979153;0.003098
39.339123;0.003136
39.712246;0.003175
40.073845;0.003214
40.460518;0.003253
40.820488;0.003293
41.195858;0.003332
41.556190;0.003371
41.961071;0.003414
42.320274;0.003453
42.694912;0.003493
43.055809;0.003533
43.439732;0.003574
